,Site_Id,Unit_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp-Celsius,Air Temp (?F),Time (24:00),Field_Tech,DateVerified,WhoVerified,AirTemp (C),Year
549,C,,3/15/2001,1.0,,7.8,0.3,0.6,13.0,,52.0,0:00,Not Recorded,,,11.11111111,2001
550,C,,3/26/2001,1.0,9.9,8.3,0.6,0.6,9.0,,41.0,0:00,Not Recorded,,,5.0,2001
551,C,,4/9/2001,1.0,,,0.55,0.55,23.0,,70.0,0:00,Not Recorded,,,21.11111111,2001
552,C,,4/24/2001,1.0,4.8,8.1,0.4,0.4,23.0,,73.0,0:00,Not Recorded,,,22.77777778,2001
553,C,,5/8/2001,1.0,,8.5,0.4,0.4,19.5,,64.0,0:00,Not Recorded,,,17.77777778,2001
554,C,,5/22/2001,3.0,2.5,7.6,0.32,0.32,24.0,,72.0,0:00,Not Recorded,,,22.22222222,2001
555,C,,6/5/2001,2.0,,8.3,0.3,0.3,23.0,,71.0,0:00,Not Recorded,,,21.66666667,2001
556,C,,6/18/2001,2.0,4.0,8.4,0.3,0.3,27.0,,77.0,0:00,Not Recorded,,,25.0,2001
557,C,,7/5/2001,2.5,,7.9,0.25,0.25,26.0,,75.0,0:00,Not Recorded,,,23.88888889,2001
558,C,,7/20/2001,,,,,,,,,0:02,Not Recorded,,,-17.77777778,2001
559,C,,8/8/2001,3.0,,8.5,0.25,0.25,31.0,,82.0,0:00,Not Recorded,,,27.77777778,2001
560,C,,8/20/2001,2.5,5.5,7.9,0.3,0.3,28.0,,80.0,0:00,Not Recorded,,,26.66666667,2001
561,C,,9/5/2001,3.0,,7.9,0.2,0.2,25.0,,76.0,0:00,Not Recorded,,,24.44444444,2001
562,C,,9/18/2001,2.0,,8.7,0.2,0.2,24.0,,78.0,0:00,Not Recorded,,,25.55555556,2001
563,C,,10/2/2001,3.0,6.1,8.3,0.25,0.25,23.0,,73.0,0:00,Not Recorded,,,22.77777778,2001
564,C,,10/22/2001,3.0,,8.2,0.25,0.25,20.0,,68.0,0:00,Not Recorded,,,20.0,2001
565,C,,11/6/2001,3.0,,8.3,0.3,0.3,13.0,,52.9,21:36,Not Recorded,,,11.61111111,2001
566,C,,11/20/2001,3.0,,,0.2,0.2,13.0,,52.0,0:00,Not Recorded,,,11.11111111,2001
567,C,,12/4/2001,,,8.3,0.15,0.15,19.0,,54.7,16:48,Not Recorded,,,12.61111111,2001
568,D,,1/8/2001,0.0,9.7,8.8,1.0,1.25,6.0,,43.0,0:00,Not Recorded,,,6.1111111110000005,2001
569,D,,1/23/2001,0.0,,9.2,1.1,1.35,5.0,,38.8,19:12,Not Recorded,,,3.777777778,2001
570,D,,2/6/2001,0.0,8.4,8.7,1.1,1.4,10.0,,52.0,0:00,Not Recorded,,,11.11111111,2001
571,D,,2/20/2001,0.0,,8.6,0.65,0.95,14.0,,62.0,0:00,Not Recorded,,,16.66666667,2001
572,D,,3/15/2001,0.0,,8.7,0.6,1.4,13.0,,52.0,0:00,Not Recorded,,,11.11111111,2001
573,D,,3/26/2001,0.0,9.6,9.0,0.7,1.5,10.0,,41.0,0:00,Not Recorded,,,5.0,2001
574,D,,4/9/2001,0.0,,,0.65,1.1,22.0,,70.0,0:00,Not Recorded,,,21.11111111,2001
575,D,,4/24/2001,0.0,4.1,9.3,0.8,1.4,19.5,,72.0,0:00,Not Recorded,,,22.22222222,2001
576,D,,5/8/2001,0.0,,8.7,0.7,1.3,19.5,,64.0,0:00,Not Recorded,,,17.77777778,2001
577,D,,5/22/2001,0.0,4.9,8.1,0.7,1.2,23.0,,71.0,0:00,Not Recorded,,,21.66666667,2001
578,D,,6/5/2001,0.0,,9.1,0.6,1.25,23.0,,71.0,0:00,Not Recorded,,,21.66666667,2001
579,D,,6/18/2001,0.0,5.5,8.7,0.5,0.9,26.0,,77.0,0:00,Not Recorded,,,25.0,2001
580,D,,7/5/2001,0.0,,8.9,0.4,1.3,26.5,,75.0,0:00,Not Recorded,,,23.88888889,2001
581,D,,7/20/2001,0.0,,9.3,0.05,1.1,24.0,,73.0,0:00,Not Recorded,,,22.77777778,2001
582,D,,8/8/2001,0.0,,9.3,0.5,1.05,31.0,,82.0,0:00,Not Recorded,,,27.77777778,2001
583,D,,8/20/2001,0.0,4.3,8.9,0.2,1.4,27.0,,80.0,0:00,Not Recorded,,,26.66666667,2001
584,D,,9/5/2001,0.0,,8.5,0.6,1.2,25.0,,76.0,0:00,Not Recorded,,,24.44444444,2001
585,D,,9/18/2001,0.0,,8.9,0.85,1.0,23.0,,78.0,0:00,Not Recorded,,,25.55555556,2001
586,D,,10/2/2001,0.0,3.9,8.7,0.7,1.1,19.0,,73.0,0:00,Not Recorded,,,22.77777778,2001
587,D,,10/22/2001,0.0,,8.8,0.8,1.25,21.0,,,0:00,Not Recorded,,,-17.77777778,2001
588,D,,11/6/2001,0.0,,9.1,1.0,1.0,11.5,,52.9,21:36,Not Recorded,,,11.61111111,2001
589,D,,11/20/2001,0.0,,,0.9,0.95,14.0,,52.0,0:00,Not Recorded,,,11.11111111,2001
590,D,,12/4/2001,,,9.1,0.9,1.0,18.0,,54.7,16:48,Not Recorded,,,12.61111111,2001
591,Bay,,1/8/2001,1.0,8.1,9.2,0.36,0.36,7.0,,43.0,0:00,S. Poe,,,6.1111111110000005,2001
592,Bay,,1/23/2001,1.0,9.0,9.3,0.1,0.1,8.0,,38.3,7:12,S. Poe,,,3.5,2001
593,Bay,,2/6/2001,1.0,8.5,8.8,0.23,0.33,11.0,,51.0,0:00,S. Poe,,,10.55555556,2001
594,Bay,,2/20/2001,1.0,9.2,9.1,0.2,0.35,11.0,,61.5,12:00,S. Poe,,,16.38888889,2001
595,Bay,,3/15/2001,1.2,9.25,9.2,0.35,0.6,14.0,,51.8,19:12,S. Poe,,,11.0,2001
596,Bay,,3/26/2001,1.0,9.9,9.4,0.25,0.45,10.0,,41.7,16:48,S. Poe,,,5.3888888889999995,2001
597,Bay,,4/9/2001,1.0,8.25,,0.3,0.65,21.0,,69.0,,S. Poe,,,20.55555556,2001
598,Bay,,4/24/2001,2.0,6.4,9.3,0.3,0.8,20.0,,71.0,0:00,S. Poe,,,21.66666667,2001
599,Bay,,5/8/2001,2.0,5.0,8.6,0.15,0.15,21.0,,64.0,0:00,S. Poe,,,17.77777778,2001
600,Bay,,5/22/2001,1.0,7.8,8.8,0.4,0.8,20.0,,70.0,0:00,S. Poe,,,21.11111111,2001
601,Bay,,6/5/2001,2.0,4.35,9.2,0.4,0.4,23.0,,70.9,21:36,S. Poe,,,21.61111111,2001
602,Bay,,6/18/2001,2.0,5.1,8.6,0.4,0.4,25.0,,77.0,0:00,S. Poe,,,25.0,2001
603,Bay,,7/5/2001,3.5,5.4,8.7,0.25,0.75,26.0,,75.0,0:00,S. Poe,,,23.88888889,2001
604,Bay,,7/20/2001,3.0,7.2,9.8,0.3,0.3,23.0,,72.0,0:00,S. Poe,,,22.22222222,2001
605,Bay,,8/8/2001,3.0,4.1,9.1,0.4,0.7,30.0,,80.0,0:00,S. Poe,,,26.66666667,2001
606,Bay,,8/20/2001,3.0,4.9,8.7,0.3,0.85,26.0,,79.3,7:12,S. Poe,,,26.27777778,2001
607,Bay,,9/5/2001,3.0,4.0,8.5,0.35,0.55,25.0,,76.0,0:00,S. Poe,,,24.44444444,2001
608,Bay,,9/18/2001,3.5,4.6,7.7,0.15,0.15,23.0,,78.0,0:00,S. Poe,,,25.55555556,2001
609,Bay,,10/2/2001,3.0,4.2,,0.15,0.15,22.0,,72.9,21:36,S. Poe,,,22.72222222,2001
610,Bay,,10/22/2001,3.0,4.6,8.6,0.6,0.6,19.0,,67.3,7:12,S. Poe,,,19.61111111,2001
611,Bay,,11/6/2001,3.0,5.5,9.5,0.25,0.25,13.0,,52.9,21:36,S. Poe,,,11.61111111,2001
612,Bay,,11/20/2001,3.5,3.8,,0.3,0.35,15.0,,52.0,0:00,S. Poe,,,11.11111111,2001
613,Bay,,12/4/2001,,,8.4,0.3,0.35,16.0,,54.3,7:12,S. Poe,,,12.38888889,2001
614,A,,1/10/2002,3.0,,7.7,1.0,1.0,7.0,,55.0,0:00,Not Recorded,,,12.77777778,2002
615,A,,1/22/2002,3.0,2.7,7.8,0.8,1.3,9.0,,51.0,0:00,Not Recorded,,,10.55555556,2002
616,A,,2/11/2002,2.0,,8.4,0.85,1.35,10.0,,,,Not Recorded,,,-17.77777778,2002
617,A,,2/26/2002,2.0,7.6,8.2,1.15,1.15,12.0,,59.0,0:00,Not Recorded,,,15.0,2002
618,A,,3/28/2002,1.0,,,0.7,1.0,13.0,,45.0,0:00,Not Recorded,,,7.222222222,2002
619,A,,4/17/2002,2.0,,7.5,0.55,1.0,28.0,,83.0,0:00,Not Recorded,,,28.33333333,2002
620,A,,4/30/2002,1.0,2.3,7.5,0.4,1.1,22.0,,60.0,0:00,Not Recorded,,,15.55555556,2002
621,A,,5/16/2002,,,7.5,0.3,0.9,,,68.0,0:00,Not Recorded,,,20.0,2002
622,A,,5/28/2002,1.0,,7.0,0.5,0.9,26.0,,72.0,0:00,Not Recorded,,,22.22222222,2002
623,A,,6/11/2002,2.0,4.2,7.0,0.7,0.7,26.0,,72.0,0:00,Not Recorded,,,22.22222222,2002
624,A,,6/24/2002,,,7.0,0.9,0.9,,,83.0,0:00,Not Recorded,,,28.33333333,2002
625,A,,7/8/2002,2.0,,7.0,0.65,0.7,,,74.0,0:00,Not Recorded,,,23.33333333,2002
626,A,,7/23/2002,3.0,,7.5,0.3,0.3,,,84.0,0:00,Not Recorded,,,28.88888889,2002
627,A,,8/1/2002,2.0,,7.0,0.5,0.7,,,87.0,0:00,Not Recorded,,,30.55555556,2002
628,A,,8/22/2002,5.0,,7.0,0.5,0.6,,,82.0,0:00,Not Recorded,,,27.77777778,2002
629,A,,9/5/2002,0.0,4.5,7.0,0.6,0.8,26.0,,81.0,0:00,Not Recorded,,,27.22222222,2002
630,A,,9/20/2002,2.0,,7.0,0.6,0.8,,,82.0,0:00,Not Recorded,,,27.77777778,2002
631,A,,10/18/2002,0.0,,6.5,0.55,0.85,,,60.0,0:00,Not Recorded,,,15.55555556,2002
632,A,,10/31/2002,1.0,6.4,,1.5,1.5,10.5,,48.0,0:00,Not Recorded,,,8.888888889,2002
633,A,,11/15/2002,0.0,,6.5,,2.4,13.0,,57.0,,Not Recorded,,,13.88888889,2002
634,A,,12/6/2002,2.0,7.7,7.0,0.5,1.0,5.0,,38.0,0:00,Not Recorded,,,3.333333333,2002
635,A,,12/16/2002,0.0,,7.0,0.8,0.8,7.5,,,,Not Recorded,,,-17.77777778,2002
636,B,,1/10/2002,3.4,,7.5,0.3,0.3,10.0,,55.0,0:00,Not Recorded,,,12.77777778,2002
637,B,,1/22/2002,2.5,7.2,7.9,0.45,0.45,8.0,,50.0,0:00,Not Recorded,,,10.0,2002
638,B,,2/11/2002,2.0,,8.2,0.45,0.45,12.0,,,0:00,Not Recorded,,,-17.77777778,2002
639,B,,2/26/2002,3.0,7.8,8.2,0.45,0.45,12.0,,58.0,0:00,Not Recorded,,,14.44444444,2002
640,B,,3/28/2002,2.0,,,0.55,0.55,12.0,,45.0,0:00,Not Recorded,,,7.222222222,2002
641,B,,4/17/2002,2.0,4.2,8.0,0.1,0.2,27.0,,83.0,0:00,Not Recorded,,,28.33333333,2002
642,B,,4/30/2002,2.0,3.4,8.5,0.5,0.5,18.0,,60.0,0:00,Not Recorded,,,15.55555556,2002
643,B,,5/16/2002,,,9.0,0.1,0.1,,,68.0,0:00,Not Recorded,,,20.0,2002
644,B,,5/28/2002,3.0,,8.5,0.2,0.2,24.0,,72.0,0:00,Not Recorded,,,22.22222222,2002
645,B,,6/11/2002,3.0,3.3,7.0,0.1,0.1,25.0,,71.0,0:00,Not Recorded,,,21.66666667,2002
646,B,,6/24/2002,1.0,,7.0,0.1,0.35,,,83.0,0:00,Not Recorded,,,28.33333333,2002
647,B,,7/8/2002,3.0,3.2,,0.3,0.35,,,73.0,0:00,Not Recorded,,,22.77777778,2002
648,B,,7/23/2002,4.0,,7.0,0.2,0.2,,,75.2,4:48,Not Recorded,,,24.0,2002
649,B,,8/1/2002,3.0,,7.0,0.25,0.25,,,87.0,0:00,Not Recorded,,,30.55555556,2002
650,B,,8/22/2002,4.0,,9.0,0.1,0.1,,,82.0,0:00,Not Recorded,,,27.77777778,2002
651,B,,9/5/2002,0.0,3.5,7.5,0.28,0.3,27.0,,81.0,0:00,Not Recorded,,,27.22222222,2002
652,B,,9/20/2002,2.0,,8.0,0.1,0.1,,,82.0,0:00,Not Recorded,,,27.77777778,2002
653,B,,10/18/2002,1.0,,6.5,0.3,0.3,,,60.0,0:00,Not Recorded,,,15.55555556,2002
654,B,,11/15/2002,0.0,,7.5,,2.6,14.0,,56.0,0:00,Not Recorded,,,13.33333333,2002
655,B,,12/16/2002,0.0,,7.0,,,7.5,,,,Not Recorded,,,-17.77777778,2002
656,C,,1/10/2002,3.0,6.8,7.0,0.4,0.4,9.5,,54.0,0:00,Not Recorded,,,12.22222222,2002
657,C,,1/22/2002,2.5,,7.9,0.45,0.45,8.0,,50.0,0:00,Not Recorded,,,10.0,2002
658,C,,2/11/2002,2.0,8.4,8.2,0.6,0.6,12.0,,,0:00,Not Recorded,,,-17.77777778,2002
659,C,,2/26/2002,2.0,,8.1,0.5,0.5,11.0,,57.0,0:00,Not Recorded,,,13.88888889,2002
660,C,,3/28/2002,2.5,7.7,,0.6,0.6,11.5,,45.0,0:00,Not Recorded,,,7.222222222,2002
661,C,,4/17/2002,1.0,,8.0,0.5,0.5,26.0,,82.0,,Not Recorded,,,27.77777778,2002
662,C,,4/30/2002,1.0,,8.0,0.3,0.3,22.0,,59.0,,Not Recorded,,,15.0,2002
663,C,,5/16/2002,,5.7,8.5,0.25,0.25,,,65.0,0:00,Not Recorded,,,18.33333333,2002
664,C,,5/28/2002,3.5,4.6,8.0,0.2,0.2,25.0,,70.0,0:00,Not Recorded,,,21.11111111,2002
665,C,,6/11/2002,2.9,,8.0,2.5,2.5,25.0,,71.0,0:00,Not Recorded,,,21.66666667,2002
666,C,,6/24/2002,3.0,3.8,8.5,0.2,0.2,28.0,,83.0,0:00,Not Recorded,,,28.33333333,2002
667,C,,7/8/2002,0.0,,9.0,0.35,0.35,,,73.0,,Not Recorded,,,22.77777778,2002
668,C,,7/23/2002,4.0,3.3,7.0,0.2,0.2,,,84.0,0:00,Not Recorded,,,28.88888889,2002
669,C,,8/1/2002,3.0,,7.0,0.25,0.25,,,87.0,0:00,Not Recorded,,,30.55555556,2002
670,C,,8/22/2002,4.0,4.7,7.0,0.1,0.1,,,82.0,0:00,Not Recorded,,,27.77777778,2002
671,C,,9/5/2002,0.0,,8.5,0.35,0.35,28.0,,81.0,0:00,Not Recorded,,,27.22222222,2002
672,C,,9/20/2002,0.0,3.5,8.0,0.2,0.2,,,82.0,0:00,Not Recorded,,,27.77777778,2002
673,C,,10/18/2002,1.0,6.7,7.0,0.6,0.6,,,60.0,0:00,Not Recorded,,,15.55555556,2002
674,C,,10/31/2002,1.0,,7.0,,,10.3,,49.0,0:00,Not Recorded,,,9.444444444,2002
675,C,,11/15/2002,0.0,5.8,7.0,,,18.0,,56.0,0:00,Not Recorded,,,13.33333333,2002
676,C,,12/6/2002,2.0,,7.0,0.5,0.5,5.0,,38.0,0:00,Not Recorded,,,3.333333333,2002
677,C,,12/16/2002,0.0,5.6,7.0,0.7,0.7,7.5,,,12:00,Not Recorded,,,-17.77777778,2002
678,D,,1/10/2002,0.0,10.0,6.8,1.4,1.4,9.0,,52.0,0:00,Not Recorded,,,11.11111111,2002
679,D,,1/22/2002,0.0,,8.9,1.3,1.4,9.0,,50.0,0:00,Not Recorded,,,10.0,2002
680,D,,2/11/2002,0.0,8.3,9.6,1.3,1.45,11.0,,,0:00,Not Recorded,,,-17.77777778,2002
681,D,,2/26/2002,0.0,,9.2,1.25,1.35,11.0,,57.0,0:00,Not Recorded,,,13.88888889,2002
682,D,,3/28/2002,0.0,7.8,,0.8,1.5,12.0,,45.0,0:00,Not Recorded,,,7.222222222,2002
683,D,,4/17/2002,0.0,,6.0,0.1,0.4,25.0,,82.0,0:00,Not Recorded,,,27.77777778,2002
684,D,,4/30/2002,0.0,,6.0,0.6,1.4,21.0,,60.0,0:00,Not Recorded,,,15.55555556,2002
685,D,,5/16/2002,0.0,3.9,,0.9,1.5,18.0,,64.0,0:00,Not Recorded,,,17.77777778,2002
686,D,,5/28/2002,0.0,6.1,6.5,0.3,1.3,24.0,,70.0,0:00,Not Recorded,,,21.11111111,2002
687,D,,6/11/2002,0.0,,6.5,0.2,1.4,25.0,,71.0,0:00,Not Recorded,,,21.66666667,2002
688,D,,6/24/2002,,4.0,6.5,0.15,1.35,,,82.0,0:00,Not Recorded,,,27.77777778,2002
689,D,,7/8/2002,0.0,,6.5,0.55,0.7,,,74.0,0:00,Not Recorded,,,23.33333333,2002
690,D,,7/23/2002,0.0,5.0,7.0,0.85,1.2,,,83.0,0:00,Not Recorded,,,28.33333333,2002
691,D,,8/1/2002,2.0,,7.5,0.6,1.3,,,85.0,0:00,Not Recorded,,,29.44444444,2002
692,D,,8/22/2002,0.0,1.2,,0.3,0.95,,,80.0,0:00,Not Recorded,,,26.66666667,2002
693,D,,9/5/2002,0.0,,7.0,0.75,1.75,26.5,,81.0,0:00,Not Recorded,,,27.22222222,2002
694,D,,9/20/2002,0.0,4.2,7.0,0.7,1.2,26.0,,81.0,0:00,Not Recorded,,,27.22222222,2002
695,D,,10/18/2002,0.0,5.3,6.5,0.65,1.5,,,58.0,0:00,Not Recorded,,,14.44444444,2002
696,D,,10/31/2002,0.0,,6.5,,,10.3,,49.0,0:00,Not Recorded,,,9.444444444,2002
697,D,,11/15/2002,0.0,6.1,6.5,,,14.0,,54.0,0:00,Not Recorded,,,12.22222222,2002
698,D,,12/6/2002,1.0,,6.5,0.75,1.4,48.0,,38.0,0:00,Not Recorded,,,3.333333333,2002
699,D,,12/16/2002,0.0,5.2,6.0,1.1,1.35,6.5,,,12:00,Not Recorded,,,-17.77777778,2002
700,Bay,,1/10/2002,3.0,7.5,6.9,0.2,0.55,,,51.2,4:48,S. Poe,,,10.66666667,2002
701,Bay,,1/22/2002,3.0,9.0,9.0,0.3,0.35,59.0,,49.9,21:36,S. Poe,,,9.944444444,2002
702,Bay,,2/11/2002,3.0,5.7,9.9,0.1,0.3,12.0,,,,S. Poe,,,-17.77777778,2002
703,Bay,,2/26/2002,3.0,7.6,9.2,0.3,0.35,11.0,,57.0,0:00,S. Poe,,,13.88888889,2002
704,Bay,,3/28/2002,3.0,8.3,,0.25,0.35,12.0,,45.0,0:00,S. Poe,,,7.222222222,2002
705,Bay,,4/17/2002,3.0,4.4,7.5,0.3,0.7,25.0,,80.0,0:00,S. Poe,,,26.66666667,2002
706,Bay,,4/30/2002,3.0,7.3,7.5,0.4,0.65,18.5,,58.0,0:00,S. Poe,,,14.44444444,2002
707,Bay,,5/16/2002,2.5,8.3,7.5,0.2,0.7,20.0,,62.0,0:00,S. Poe,,,16.66666667,2002
708,Bay,,5/28/2002,3.0,4.5,7.5,0.3,0.55,24.0,,70.0,0:00,S. Poe,,,21.11111111,2002
709,Bay,,6/11/2002,3.0,5.9,8.5,0.3,0.65,23.5,,70.0,0:00,S. Poe,,,21.11111111,2002
710,Bay,,6/24/2002,4.0,5.1,7.5,0.4,0.75,27.0,,82.0,0:00,S. Poe,,,27.77777778,2002
711,Bay,,7/8/2002,4.0,3.5,8.0,0.4,0.4,,,73.0,0:00,S. Poe,,,22.77777778,2002
712,Bay,,7/23/2002,4.0,4.2,7.5,0.4,0.6,,,83.0,0:00,S. Poe,,,28.33333333,2002
713,Bay,,8/1/2002,4.0,4.2,7.5,0.6,0.6,,,85.0,0:00,S. Poe,,,29.44444444,2002
714,Bay,,8/22/2002,4.0,4.0,7.5,0.4,0.4,,,80.0,0:00,S. Poe,,,26.66666667,2002
715,Bay,,9/5/2002,3.0,6.5,7.5,0.5,0.7,27.0,,80.0,0:00,S. Poe,,,26.66666667,2002
716,Bay,,9/20/2002,4.0,4.5,7.0,0.4,0.5,,,81.0,0:00,S. Poe,,,27.22222222,2002
717,Bay,,10/18/2002,3.0,5.0,7.0,0.35,0.7,,,58.0,0:00,S. Poe,,,14.44444444,2002
718,Bay,,10/31/2002,4.0,6.3,7.5,0.5,0.5,10.0,,47.8,19:12,S. Poe,,,8.777777777999999,2002
719,Bay,,11/15/2002,0.0,8.1,7.0,,,12.0,,54.0,0:00,S. Poe,,,12.22222222,2002
720,Bay,,12/6/2002,2.0,9.6,7.0,0.1,0.1,5.0,,37.0,0:00,S. Poe,,,2.777777778,2002
721,Bay,,12/16/2002,2.0,6.8,7.0,0.3,0.6,7.5,,49.0,0:00,S. Poe,,,9.444444444,2002
722,A,,1/3/2003,0.0,8.1,6.5,0.9,1.1,15.0,,53.0,0:00,Not Recorded,,,11.66666667,2003
723,A,,2/3/2003,0.0,,6.5,0.5,1.1,6.0,,50.0,0:00,Not Recorded,,,10.0,2003
724,A,,2/20/2003,0.0,,6.5,0.8,1.35,7.0,,43.0,0:00,Not Recorded,,,6.1111111110000005,2003
725,A,,3/6/2003,1.0,,6.5,0.8,1.4,14.0,,58.0,0:00,Not Recorded,,,14.44444444,2003
726,A,,3/20/2003,1.0,6.4,6.5,0.6,1.0,12.0,,53.0,0:00,Not Recorded,,,11.66666667,2003
727,A,,4/21/2003,0.0,,5.5,0.3,0.8,17.0,,67.0,0:00,Not Recorded,,,19.44444444,2003
728,A,,5/1/2003,0.0,3.9,6.5,0.45,1.15,23.0,,75.0,0:00,Not Recorded,,,23.88888889,2003
729,A,,5/22/2003,1.0,,6.5,0.5,0.8,,,60.4,9:36,Not Recorded,,,15.77777778,2003
730,A,,6/5/2003,0.0,4.7,6.5,0.5,0.85,24.0,,70.0,0:00,Not Recorded,,,21.11111111,2003
731,A,,6/20/2003,0.0,,6.5,0.4,1.1,25.0,,73.0,0:00,Not Recorded,,,22.77777778,2003
732,A,,7/1/2003,0.0,2.7,6.5,0.4,1.0,28.0,,76.5,12:00,Not Recorded,,,24.72222222,2003
733,A,,7/17/2003,0.0,,7.0,0.6,0.85,29.0,,76.0,0:00,Not Recorded,,,24.44444444,2003
734,A,,8/7/2003,0.0,3.0,6.5,0.45,1.0,25.0,,80.6,14:24,Not Recorded,,,27.0,2003
735,A,,9/4/2003,0.0,,6.5,0.8,0.9,29.0,,83.0,0:00,Not Recorded,,,28.33333333,2003
736,A,,10/2/2003,0.0,5.6,6.5,0.6,0.9,20.0,,64.0,0:00,Not Recorded,,,17.77777778,2003
737,A,,10/23/2003,,,,0.5,0.8,,,58.0,,Not Recorded,,,14.44444444,2003
738,A,,11/6/2003,0.0,2.9,6.5,0.1,0.8,24.0,,76.0,0:00,Not Recorded,,,24.44444444,2003
739,A,,11/20/2003,1.0,,7.5,0.5,0.7,14.0,,56.0,0:00,Not Recorded,,,13.33333333,2003
740,A,,12/1/2003,1.0,8.1,7.0,0.45,0.8,,,59.0,0:00,Not Recorded,,,15.0,2003
741,A,,12/15/2003,2.0,,7.0,0.7,0.95,9.0,,48.0,0:00,Not Recorded,,,8.888888889,2003
742,B,,1/3/2003,0.0,6.6,7.0,0.2,0.2,13.0,,53.0,0:00,Not Recorded,,,11.66666667,2003
743,B,,2/3/2003,0.0,,7.0,0.5,0.5,6.0,,50.0,0:00,Not Recorded,,,10.0,2003
744,B,,2/20/2003,0.0,6.4,7.5,0.5,0.5,7.0,,44.0,0:00,Not Recorded,,,6.666666667,2003
745,B,,3/6/2003,1.0,,7.5,0.48,0.48,15.0,,58.0,0:00,Not Recorded,,,14.44444444,2003
746,B,,3/20/2003,2.0,3.2,,0.3,0.3,12.0,,33.0,0:00,Not Recorded,,,0.5555555560000001,2003
747,B,,4/21/2003,0.0,,7.5,0.3,0.3,20.0,,67.0,0:00,Not Recorded,,,19.44444444,2003
748,B,,5/1/2003,0.0,7.3,7.5,0.6,0.6,25.0,,76.0,0:00,Not Recorded,,,24.44444444,2003
749,B,,6/5/2003,0.0,8.5,9.5,0.1,0.1,25.1,,72.0,0:00,Not Recorded,,,22.22222222,2003
750,B,,6/20/2003,0.0,,7.0,0.2,0.2,26.0,,73.0,0:00,Not Recorded,,,22.77777778,2003
751,B,,7/1/2003,0.0,3.6,,0.3,0.3,26.0,,77.0,0:00,Not Recorded,,,25.0,2003
752,B,,7/17/2003,0.0,,7.5,0.1,0.1,28.0,,76.0,0:00,Not Recorded,,,24.44444444,2003
753,B,,8/7/2003,0.0,3.2,7.0,0.2,0.2,25.0,,77.0,0:00,Not Recorded,,,25.0,2003
754,B,,9/4/2003,0.0,,7.5,0.1,0.1,29.0,,83.0,0:00,Not Recorded,,,28.33333333,2003
755,B,,10/2/2003,0.5,5.5,7.0,0.15,0.15,18.0,,64.0,0:00,Not Recorded,,,17.77777778,2003
756,B,,10/23/2003,1.0,,8.0,0.2,0.2,11.0,,58.0,0:00,Not Recorded,,,14.44444444,2003
757,B,,11/6/2003,1.0,4.7,7.0,0.15,0.15,25.0,,76.0,0:00,Not Recorded,,,24.44444444,2003
758,B,,11/20/2003,1.0,,8.0,0.2,0.2,13.5,,56.0,0:00,Not Recorded,,,13.33333333,2003
759,B,,12/1/2003,1.0,8.8,7.5,0.75,0.2,12.0,,58.0,0:00,Not Recorded,,,14.44444444,2003
760,B,,12/15/2003,2.0,,7.0,0.3,0.3,9.0,,48.0,0:00,Not Recorded,,,8.888888889,2003
761,C,,1/3/2003,0.0,,7.0,0.55,0.55,13.0,,53.0,0:00,Not Recorded,,,11.66666667,2003
762,C,,2/3/2003,0.0,,7.0,0.6,0.6,6.0,,50.0,0:00,Not Recorded,,,10.0,2003
763,C,,2/20/2003,0.0,,7.0,0.8,0.8,7.0,,45.0,0:00,Not Recorded,,,7.222222222,2003
764,C,,3/6/2003,1.0,3.2,7.0,0.7,0.7,14.0,,58.0,0:00,Not Recorded,,,14.44444444,2003
765,C,,3/20/2003,2.0,,7.0,0.4,0.4,12.0,,53.0,0:00,Not Recorded,,,11.66666667,2003
766,C,,4/21/2003,0.0,5.6,7.0,0.4,0.4,18.0,,65.0,0:00,Not Recorded,,,18.33333333,2003
767,C,,5/1/2003,1.0,,7.0,0.4,0.4,24.0,,76.0,0:00,Not Recorded,,,24.44444444,2003
768,C,,5/22/2003,1.0,3.3,7.0,0.7,0.7,,,60.0,0:00,Not Recorded,,,15.55555556,2003
769,C,,6/5/2003,0.0,,7.0,4.0,4.0,,,72.0,0:00,Not Recorded,,,22.22222222,2003
770,C,,6/20/2003,0.0,4.5,7.0,0.5,0.5,24.0,,73.0,0:00,Not Recorded,,,22.77777778,2003
771,C,,7/1/2003,0.0,,7.5,0.3,0.3,27.0,,77.0,0:00,Not Recorded,,,25.0,2003
772,C,,7/17/2003,0.0,4.7,7.0,0.35,0.35,28.0,,75.0,0:00,Not Recorded,,,23.88888889,2003
773,C,,8/7/2003,0.0,,7.0,0.5,0.5,25.0,,77.0,0:00,Not Recorded,,,25.0,2003
774,C,,9/4/2003,0.0,4.7,7.0,0.15,0.15,27.0,,83.0,0:00,Not Recorded,,,28.33333333,2003
775,C,,10/2/2003,1.0,,7.0,0.6,0.6,20.0,,64.0,0:00,Not Recorded,,,17.77777778,2003
776,C,,10/23/2003,1.0,5.6,7.5,0.15,0.15,14.0,,58.0,0:00,Not Recorded,,,14.44444444,2003
777,C,,11/6/2003,1.0,,7.0,0.3,0.3,24.0,,76.0,0:00,Not Recorded,,,24.44444444,2003
778,C,,11/20/2003,,7.6,7.5,0.2,0.2,,,56.0,0:00,Not Recorded,,,13.33333333,2003
